ID,Binomial,Replicate,Citation,Class,Order,Family,Genus,Species,Subspecies,Authority,Common_name,Location,Country,All_countries,Region,IPBES_region,IPBES_subregion,Latitude,Longitude,Specific_location,System,T_realm,T_biome,FW_realm,FW_biome,M_realm,M_ocean,M_biome,Migratory_fw_fish,Units,Method,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
256,Buteo_platypterus,0," U.S. Fish and Wildlife Service (1997). Puerto Rican Broad-winged hawk and Puerto Rican Sharp-shinned hawk recovery plan. U. S. F. a. W. Service. Atlanta, Georgia: 30pp.",Aves,Accipitriformes,Accipitridae,Buteo,platypterus,brunnescens,"(Vieillot, 1823)",Broad-winged hawk,"Caribbean National Forest, Puerto Rico",Puerto Rico,Puerto Rico,Latin America and Caribbean,Americas,Caribbean,18.33333,-65.71889,1,Terrestrial,Neotropical,Tropical and subtropical moist broadleaf forests,,,,,,0,Number of individuals,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Hippocamelus_bisulcus,0," Massicot, P. (2005, December 3, 2005). ""Animal Info: South Andean Deer."" Animal Info. Retrieved 07/09/06, from http://www.animalinfo.org/species/artiperi/hippbisu.htm.",Mammalia,Artiodactyla,Cervidae,Hippocamelus,bisulcus,,"Molina, 1782",South Andean deer / Huemul,Chile,Chile,Chile,Latin America and Caribbean,Americas,South America,-30,-71,0,Terrestrial,Neotropical,Temperate broadleaf and mixed forests,,,,,,0,Individuals,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,360,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Leontopithecus_chrysomelas,0," Kasnoff, C. (1996). ""Golden Lion Tamarin (Leontopithecus chrysomelas)."" from http://www.bagheera.com/inthewild/van_anim_tamarin.htm.",Mammalia,Primates,Cebidae,Leontopithecus,chrysomelas,,"(Kuhl, 1820)",Golden-headed lion tamarin,Southeastern Brazil,Brazil,Brazil,Latin America and Caribbean,Americas,South America,-26.41667,-48.83333,0,Terrestrial,Neotropical,Tropical and subtropical moist broadleaf forests,,,,,,0,Individuals,Unknown,,,,,,,,,,,,,,,,,,,,,,,450,,,,,,,,,200,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,
260,Saimiri_oerstedii,0," Boinski, S., K. Jack, et al. (1998). ""Squirrel monkeys in Costa Rica: drifting to extinction."" Oryx 32(1): 45-58.",Mammalia,Primates,Cebidae,Saimiri,oerstedii,,"(Reinhardt, 1872)",Black-crowned Central American squirrel monkey,Costa Rica,Costa Rica,Costa Rica,Latin America and Caribbean,Americas,Mesoamerica,10,-84,0,Terrestrial,Neotropical,Tropical and subtropical moist broadleaf forests,,,,,,0,Number of individuals,Informant interviews (1983) and transect survey (1997),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200000,,,,,,,,,,,,,,3750,,,,,,,,,,,,,,,,,,,,,,,
262,Vicugna_vicugna,0," Cattan, P. E. and A. A. Glade (1989). ""Management of the Vicuna Vicugna-Vicugna in Chile - Use of a Matrix Model to Assess Harvest Rates."" Biological Conservation 49(2): 131-140.",Mammalia,Artiodactyla,Camelidae,Vicugna,vicugna,,"(Molina, 1782)",Vicuna,"Reserva Nacional Las Vicunas, N Chile",Chile,Chile,Latin America and Caribbean,Americas,South America,-18.2,-69.58333,1,Terrestrial,Neotropical,Montane grasslands and shrublands,,,,,,0,Individuals,Census,,,,,,,,,,,,,,,,,,,,,,,,,,,3052,4080,6257,7003,7990,9762,12308,14617,16382,18114,20219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,Cyclura_cornuta,0," Alberts, A. (1999). West Indian Iguanas: Status survey and conservation action plan. I. S. W. I. I. S. Group. Gland, Switzerland and Cambridge, UK, IUCN: 6 + 111pp.",Reptilia,Squamata,Iguanidae,Cyclura,cornuta,stejnegeri,"(Bonnaterre, 1789)",Rhinoceros iguana / Mona Island lizard,"Mona Island, West Indies",Puerto Rico,Puerto Rico,Latin America and Caribbean,Americas,Caribbean,18.08722,-67.97194,1,Terrestrial,Neotropical,Tropical and subtropical moist broadleaf forests,,,,,,0,Number of individuals,Line transects,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,1155,,,,,,,,,,,,,,,,,,,,,,,,,
993,Anas_acuta,0," Perez-Arteaga, A. and K. J. Gaston (2004). ""Wildfowl population trends in Mexico, 1961-2000: a basis for conservation planning."" Biological Conservation 115(3): 343-355.",Aves,Anseriformes,Anatidae,Anas,acuta,,"Linnaeus, 1758",Northern pintail,"Mexican Wetlands: The interior Highlands, Pacific Coast, Gulf of Mexico Coast",Mexico,Mexico,Latin America and Caribbean,Americas,Mesoamerica,20,-102,0,Freshwater,,,Neotropical,Xeric freshwaters and endorheic basins,,,,0,Individuals,Aerial count,,,,,,,,,,,,260470,180200,177980,221530,273980,150430,128890,173400,196940,149920,134270,173220,192230,158850,248330,237990,268410,292170,195930,215470,320720,290250,262490,240890,198510,,,255040,,,119090,,,164980,,,160180,,,64180,,,,,,,,,,,,,,,,,,,,
997,Mareca_americana,0," Perez-Arteaga, A. and K. J. Gaston (2004). ""Wildfowl population trends in Mexico, 1961-2000: a basis for conservation planning."" Biological Conservation 115(3): 343-355.",Aves,Anseriformes,Anatidae,Mareca,americana,,"(Gmelin, 1789)",American wigeon,"Mexican Wetlands: The interior Highlands, Pacific Coast, Gulf of Mexico Coast",Mexico,Mexico,Latin America and Caribbean,Americas,Mesoamerica,20,-102,0,Freshwater,,,Neotropical,Xeric freshwaters and endorheic basins,,,,0,Individuals,Aerial count,,,,,,,,,,,,12560,17230,37740,68680,38180,13430,13740,13270,20830,22330,53640,102230,215260,80670,48760,25950,22710,37010,60530,60380,42320,56240,43160,36830,33990,,,31150,,,39420,,,23540,,,15380,,,37630,,,,,,,,,,,,,,,,,,,,
1000,Spatula_clypeata,0," Perez-Arteaga, A. and K. J. Gaston (2004). ""Wildfowl population trends in Mexico, 1961-2000: a basis for conservation planning."" Biological Conservation 115(3): 343-355.",Aves,Anseriformes,Anatidae,Spatula,clypeata,,"(Linnaeus, 1758)",Northern shoveler,"Mexican Wetlands: The interior Highlands, Pacific Coast, Gulf of Mexico Coast",Mexico,Mexico,Latin America and Caribbean,Americas,Mesoamerica,20,-102,0,Freshwater,,,Neotropical,Xeric freshwaters and endorheic basins,,,,0,Individuals,Aerial count,,,,,,,,,,,,120,200,220,180,490,260,590,680,780,1840,1040,1210,1400,1620,2110,2160,2030,3510,2200,2350,10670,950,3310,2130,1360,,,1440,,,1240,,,1430,,,100,,,830,,,,,,,,,,,,,,,,,,,,
1004,Anas_crecca,0," Perez-Arteaga, A. and K. J. Gaston (2004). ""Wildfowl population trends in Mexico, 1961-2000: a basis for conservation planning."" Biological Conservation 115(3): 343-355.",Aves,Anseriformes,Anatidae,Anas,crecca,,"Linnaeus, 1758",Common teal,"Mexican Wetlands: The interior Highlands, Pacific Coast, Gulf of Mexico Coast",Mexico,Mexico,Latin America and Caribbean,Americas,Mesoamerica,20,-102,0,Freshwater,,,Neotropical,Xeric freshwaters and endorheic basins,,,,0,Individuals,Aerial count,,,,,,,,,,,,1150,7140,8540,8260,1500,1290,4380,,,3290,,,,,6950,,1530,4200,3040,6980,9310,4100,,,1630,,,1420,,,180,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,
1006,Anas_platyrhynchos,0," Perez-Arteaga, A. and K. J. Gaston (2004). ""Wildfowl population trends in Mexico, 1961-2000: a basis for conservation planning."" Biological Conservation 115(3): 343-355.",Aves,Anseriformes,Anatidae,Anas,platyrhynchos,,"Linnaeus, 1758",Mallard,Mexican Wetlands: The interior Highlands,Mexico,Mexico,Latin America and Caribbean,Americas,Mesoamerica,20,-102,0,Freshwater,,,Neotropical,Xeric freshwaters and endorheic basins,,,,0,Individuals,Aerial count,,,,,,,,,,,,302860,113940,116210,78550,78880,89000,86960,95010,120480,130650,108820,117620,139380,146200,168560,227190,199730,238930,167040,258110,324060,297270,236490,175340,115820,,,106460,,,76530,,,77500,,,62830,,,46650,,,,,,,,,,,,,,,,,,,,
1011,Spatula_discors,0," Perez-Arteaga, A. and K. J. Gaston (2004). ""Wildfowl population trends in Mexico, 1961-2000: a basis for conservation planning."" Biological Conservation 115(3): 343-355.",Aves,Anseriformes,Anatidae,Spatula,discors,,"(Linnaeus, 1766)",Blue-winged teal,"Mexican Wetlands: Pacific Coast, Gulf of Mexico Coast",Mexico,Mexico,Latin America and Caribbean,Americas,Mesoamerica,26,-105,0,Freshwater,,,Nearctic,Xeric freshwaters and endorheic basins,,,,0,Individuals,Aerial count,,,,,,,,,,,,13640,2420,3350,2770,4570,4990,3860,5140,5140,5320,5160,5140,5140,5140,4630,5140,4470,3230,10420,4260,1830,4260,3940,3430,1360,,,4830,,,2300,,,2030,,,970,,,300,,,,,,,,,,,,,,,,,,,,
1012,Anas_fulvigula,0," Perez-Arteaga, A. and K. J. Gaston (2004). ""Wildfowl population trends in Mexico, 1961-2000: a basis for conservation planning."" Biological Conservation 115(3): 343-355.",Aves,Anseriformes,Anatidae,Anas,fulvigula,,"Ridgway, 1874",Mottled duck,Mexican Wetlands: Gulf of Mexico Coast,Mexico,Mexico,Latin America and Caribbean,Americas,Mesoamerica,20,-97,0,Freshwater,,,Neotropical,Tropical and subtropical coastal rivers,,,,0,Individuals,Aerial count,,,,,,,,,,,,90570,53280,80690,67250,71010,78550,59970,65450,61110,72120,70180,60110,60230,59850,49250,59700,53800,74880,66620,84560,85740,176810,121460,105520,64980,,,39680,,,35920,,,40930,,,22570,,,21280,,,,,,,,,,,,,,,,,,,,
1015,Anas_platyrhynchos,0," Perez-Arteaga, A. and K. J. Gaston (2004). ""Wildfowl population trends in Mexico, 1961-2000: a basis for conservation planning."" Biological Conservation 115(3): 343-355.",Aves,Anseriformes,Anatidae,Anas,platyrhynchos,,"Linnaeus, 1758",Mallard,"Mexican Wetlands: The interior Highlands, Gulf of Mexico Coast",Mexico,Mexico,Latin America and Caribbean,Americas,Mesoamerica,20,-97,0,Freshwater,,,Neotropical,Tropical and subtropical coastal rivers,,,,0,Individuals,Aerial count,,,,,,,,,,,,,,,,,,,,,112880,116250,100070,104300,113580,107810,102900,100200,123180,101000,103980,173190,92780,101730,115930,121450,,,108160,,,99350,,,94930,,,122580,,,98800,,,,,,,,,,,,,,,,,,,,
1020,Mareca_strepera,0," Perez-Arteaga, A. and K. J. Gaston (2004). ""Wildfowl population trends in Mexico, 1961-2000: a basis for conservation planning."" Biological Conservation 115(3): 343-355.",Aves,Anseriformes,Anatidae,Mareca,strepera,,"(Linnaeus, 1758)",Gadwall,"Mexican Wetlands: The interior Highlands, Pacific Coast, Gulf of Mexico Coast",Mexico,Mexico,Latin America and Caribbean,Americas,Mesoamerica,20,-102,0,Freshwater,,,Neotropical,Xeric freshwaters and endorheic basins,,,,0,Individuals,Aerial count,,,,,,,,,,,,25780,22950,61690,46050,58810,57590,68320,65090,63120,46770,60680,59680,59900,60840,66780,66630,55660,80060,76950,78560,82540,121590,98080,105060,103510,,,99210,,,97680,,,170670,,,91910,,,132970,,,,,,,,,,,,,,,,,,,,
1022,Aythya_affinis,0," Perez-Arteaga, A. and K. J. Gaston (2004). ""Wildfowl population trends in Mexico, 1961-2000: a basis for conservation planning."" Biological Conservation 115(3): 343-355.",Aves,Anseriformes,Anatidae,Aythya,affinis,,"(Eyton, 1838)",Lesser scaup,"Mexican Wetlands: The interior Highlands, Pacific Coast, Gulf of Mexico Coast",Mexico,Mexico,Latin America and Caribbean,Americas,Mesoamerica,20,-102,0,Freshwater,,,Neotropical,Xeric freshwaters and endorheic basins,,,,0,Individuals,Aerial count,,,,,,,,,,,,257340,236550,268720,196410,326170,188060,204690,257960,255350,352580,272940,349370,334130,263410,323920,231100,178090,297030,207710,128950,258370,788370,361850,410800,249000,,,195700,,,289710,,,353920,,,212370,,,183620,,,,,,,,,,,,,,,,,,,,
1025,Aythya_americana,0," Perez-Arteaga, A. and K. J. Gaston (2004). ""Wildfowl population trends in Mexico, 1961-2000: a basis for conservation planning."" Biological Conservation 115(3): 343-355.",Aves,Anseriformes,Anatidae,Aythya,americana,,"(Eyton, 1838)",Redhead,"Mexican Wetlands: The interior Highlands, Pacific Coast, Gulf of Mexico Coast",Mexico,Mexico,Latin America and Caribbean,Americas,Mesoamerica,20,-102,0,Freshwater,,,Neotropical,Xeric freshwaters and endorheic basins,,,,0,Individuals,Aerial count,,,,,,,,,,,,173700,59210,60810,249080,145570,111750,104780,139790,164200,191350,156850,249550,216860,202590,289800,295750,345590,528660,718710,578710,512060,247020,395840,442550,552440,,,306860,,,336590,,,357160,,,78000,,,422320,,,,,,,,,,,,,,,,,,,,
1026,Aythya_collaris,0," Perez-Arteaga, A. and K. J. Gaston (2004). ""Wildfowl population trends in Mexico, 1961-2000: a basis for conservation planning."" Biological Conservation 115(3): 343-355.",Aves,Anseriformes,Anatidae,Aythya,collaris,,"(Donovan, 1809)",Ring-necked duck,"Mexican Wetlands: The interior Highlands, Pacific Coast, Gulf of Mexico Coast",Mexico,Mexico,Latin America and Caribbean,Americas,Mesoamerica,20,-102,0,Freshwater,,,Neotropical,Xeric freshwaters and endorheic basins,,,,0,Individuals,Aerial count,,,,,,,,,,,,126850,164590,90820,71860,54450,64100,60380,55730,52000,50460,45320,42330,39550,36980,40590,32350,13660,78290,45980,57140,103920,145520,97840,67780,17070,,,86480,,,14240,,,46400,,,40860,,,26350,,,,,,,,,,,,,,,,,,,,
1030,Aythya_valisineria,0," Perez-Arteaga, A. and K. J. Gaston (2004). ""Wildfowl population trends in Mexico, 1961-2000: a basis for conservation planning."" Biological Conservation 115(3): 343-355.",Aves,Anseriformes,Anatidae,Aythya,valisineria,,"(Wilson, 1814)",Canvasback,"Mexican Wetlands: The interior Highlands, Pacific Coast, Gulf of Mexico Coast",Mexico,Mexico,Latin America and Caribbean,Americas,Mesoamerica,20,-102,0,Freshwater,,,Neotropical,Xeric freshwaters and endorheic basins,,,,0,Individuals,Aerial count,,,,,,,,,,,,705420,370250,332340,617090,593510,371390,385040,510260,646670,327260,314050,769190,928260,486290,1161780,867080,776700,1070700,922010,744560,755920,640760,575210,486030,337970,,,319070,,,344250,,,223340,,,163120,,,144490,,,,,,,,,,,,,,,,,,,,
1033,Bucephala_albeola,0," Perez-Arteaga, A. and K. J. Gaston (2004). ""Wildfowl population trends in Mexico, 1961-2000: a basis for conservation planning."" Biological Conservation 115(3): 343-355.",Aves,Anseriformes,Anatidae,Bucephala,albeola,,"(Linnaeus, 1758)",Bufflehead,"Mexican Wetlands: The interior Highlands, Pacific Coast, Gulf of Mexico Coast",Mexico,Mexico,Latin America and Caribbean,Americas,Mesoamerica,20,-102,0,Freshwater,,,Neotropical,Xeric freshwaters and endorheic basins,,,,0,Individuals,Aerial count,,,,,,,,,,,,6250,3910,6800,4320,6910,6650,5460,6160,6100,9070,6760,8120,5850,5800,6720,6130,11900,18120,13130,38590,40880,90560,31980,29150,28280,,,24500,,,11600,,,5310,,,18050,,,7760,,,,,,,,,,,,,,,,,,,,
1041,Dendrocygna_autumnalis,0," Perez-Arteaga, A. and K. J. Gaston (2004). ""Wildfowl population trends in Mexico, 1961-2000: a basis for conservation planning."" Biological Conservation 115(3): 343-355.",Aves,Anseriformes,Anatidae,Dendrocygna,autumnalis,,"(Linnaeus, 1758)",Black-bellied whistling-duck,"Mexican Wetlands: The interior Highlands, Pacific Coast",Mexico,Mexico,Latin America and Caribbean,Americas,Mesoamerica,26,-105,0,Freshwater,,,Nearctic,Xeric freshwaters and endorheic basins,,,,0,Individuals,Aerial count,,,,,,,,,,,,,,,,23060,10500,6200,7330,8030,3490,7410,4990,5930,5920,7180,6670,3870,5840,17280,9480,18420,22760,17240,9980,9540,,,3680,,,10000,,,8040,,,4630,,,6200,,,,,,,,,,,,,,,,,,,,
1042,Dendrocygna_bicolor,0," Perez-Arteaga, A. and K. J. Gaston (2004). ""Wildfowl population trends in Mexico, 1961-2000: a basis for conservation planning."" Biological Conservation 115(3): 343-355.",Aves,Anseriformes,Anatidae,Dendrocygna,bicolor,,"(Vieillot, 1816)",Fulvous whistling-duck,"Mexican Wetlands: The interior Highlands, Pacific Coast",Mexico,Mexico,Latin America and Caribbean,Americas,Mesoamerica,26,-105,0,Freshwater,,,Nearctic,Xeric freshwaters and endorheic basins,,,,0,Individuals,Aerial count,,,,,,,,,,,,5160,5160,5050,5060,7340,860,1940,1360,820,500,750,2940,1990,1460,6620,2960,1260,18690,11590,14200,14690,4580,16840,5680,13060,,,4890,,,22550,,,1610,,,480,,,190,,,,,,,,,,,,,,,,,,,,
1067,Oxyura_jamaicensis,0," Perez-Arteaga, A. and K. J. Gaston (2004). ""Wildfowl population trends in Mexico, 1961-2000: a basis for conservation planning."" Biological Conservation 115(3): 343-355.",Aves,Anseriformes,Anatidae,Oxyura,jamaicensis,,"(Gmelin, 1789)",Ruddy duck,"Mexican Wetlands: The interior Highlands, Pacific Coast, Gulf of Mexico Coast",Mexico,Mexico,Latin America and Caribbean,Americas,Mesoamerica,20,-102,0,Freshwater,,,Neotropical,Xeric freshwaters and endorheic basins,,,,0,Individuals,Aerial count,,,,,,,,,,,,430,2080,26810,16740,22450,37730,42770,56790,70630,108470,106060,131940,169110,92590,32930,27810,43860,38970,19420,35600,8210,13030,19750,33770,57910,,,51940,,,2650,,,30480,,,7580,,,15910,,,,,,,,,,,,,,,,,,,,
1079,Phoenicoparrus_andinus,0,"CBD, C. f. B. D. I. C. (2004). ""South America Birds."" South America Birds. from http://www.biologicaldiversity.org/swcbd/programs/international/pdfs/SOUTH-AMERICAN-BIRDS.pdf.",Aves,Phoenicopteriformes,Phoenicopteridae,Phoenicoparrus,andinus,,"Philippi, 1854",Andean flamingo,"Andes Mountains, Bolivia","Bolivia, Plurinational State Of","Bolivia, Plurinational State Of, Peru, Chile, Argentina",Latin America and Caribbean,Americas,South America,-20,-67,0,Freshwater,,,Neotropical,Xeric freshwaters and endorheic basins,,,,0,Number of individuals,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75000,,,,,,,,,,,,33927,,,,,,,,,,,,,,,,,,,,,,,
1080,Phoenicopterus_chilensis,0," Valqui, M., Caziani, S., Rocha O.O., Rodriguez, E.R. (2000). ""Abundance and distribution of the South American Altiplano flamingos."" Waterbirds: The International Journal of Waterbird Biology 23(Special  Pubblication 1): 1-213.",Aves,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus,chilensis,,"Molina, 1782",Chilean flamingo,Andes Mountains,Chile,"Chile, Bolivia, Plurinational State Of, Argentina, Peru",Latin America and Caribbean,Americas,South America,-21.7325,-63.28444,0,Freshwater,,,Neotropical,Xeric freshwaters and endorheic basins,,,,0,Number of individuals,Census,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39089,25783,,,,,,,,,,,,,,,,,,,,,,
1081,Phoenicoparrus_jamesi,0," Valqui, M., Caziani, S., Rocha O.O., Rodriguez, E.R. (2000). ""Abundance and distribution of the South American Altiplano flamingos."" Waterbirds: The International Journal of Waterbird Biology 23(Special  Pubblication 1): 1-213.",Aves,Phoenicopteriformes,Phoenicopteridae,Phoenicoparrus,jamesi,,"Sclater, 1886",Puna flamingo,"Andes Mountains, Bolivia","Bolivia, Plurinational State Of","Bolivia, Plurinational State Of, Peru, Chile, Argentina",Latin America and Caribbean,Americas,South America,-20,-67,0,Freshwater,,,Neotropical,Xeric freshwaters and endorheic basins,,,,0,Number of individuals,census,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47619,64067,,,,,,,,,,,,,,,,,,,,,,
